                                                                                                                                                                                         28 Sep 2025 15:13:46
Facility-Raisting-Receiver-DLRx-To-Satellite-CommSat-Transmitter-DLTx:  Link Budget


      Time (UTCG)          EIRP (dBW)    Rcvd. Frequency (GHz)    Rcvd. Iso. Power (dBW)    Flux Density (dBW/m^2)    g/T (dB/K)    C/No (dB*Hz)    Bandwidth (kHz)    C/N (dB)    Eb/No (dB)         BER    
2 May 2024 10:24:42.000        23.010                 1.500002                  -161.253               -136.275812     17.000000       84.345817          32000.000      9.2943       12.3046    2.754186e-09
2 May 2024 10:25:42.000        23.010                 1.500002                  -161.247               -136.269236     17.000000       84.352393          32000.000      9.3009       12.3112    2.682210e-09
2 May 2024 10:26:42.000        23.010                 1.500002                  -161.240               -136.262761     17.000000       84.358868          32000.000      9.3074       12.3177    2.613085e-09
2 May 2024 10:27:42.000        23.010                 1.500002                  -161.234               -136.256389     17.000000       84.365240          32000.000      9.3137       12.3240    2.546701e-09
2 May 2024 10:28:42.000        23.010                 1.500002                  -161.228               -136.250121     17.000000       84.371508          32000.000      9.3200       12.3303    2.482953e-09
2 May 2024 10:29:42.000        23.010                 1.500002                  -161.221               -136.243957     17.000000       84.377672          32000.000      9.3262       12.3365    2.421740e-09
2 May 2024 10:30:42.000        23.010                 1.500001                  -161.215               -136.237898     17.000000       84.383731          32000.000      9.3322       12.3425    2.362966e-09
2 May 2024 10:31:42.000        23.010                 1.500001                  -161.209               -136.231946     17.000000       84.389683          32000.000      9.3382       12.3485    2.306539e-09
2 May 2024 10:32:42.000        23.010                 1.500001                  -161.204               -136.226102     17.000000       84.395527          32000.000      9.3440       12.3543    2.252370e-09
2 May 2024 10:33:42.000        23.010                 1.500001                  -161.198               -136.220365     17.000000       84.401264          32000.000      9.3498       12.3601    2.200375e-09
2 May 2024 10:34:42.000        23.010                 1.500001                  -161.192               -136.214738     17.000000       84.406891          32000.000      9.3554       12.3657    2.150473e-09
2 May 2024 10:35:42.000        23.010                 1.500001                  -161.187               -136.209221     17.000000       84.412408          32000.000      9.3609       12.3712    2.102586e-09
2 May 2024 10:36:42.000        23.010                 1.500001                  -161.181               -136.203815     17.000000       84.417815          32000.000      9.3663       12.3766    2.056640e-09
2 May 2024 10:37:42.000        23.010                 1.500001                  -161.176               -136.198520     17.000000       84.423109          32000.000      9.3716       12.3819    2.012564e-09
2 May 2024 10:38:42.000        23.010                 1.500001                  -161.171               -136.193338     17.000000       84.428291          32000.000      9.3768       12.3871    1.970291e-09
2 May 2024 10:39:42.000        23.010                 1.500001                  -161.166               -136.188269     17.000000       84.433360          32000.000      9.3819       12.3922    1.929755e-09
2 May 2024 10:40:42.000        23.010                 1.500001                  -161.161               -136.183314     17.000000       84.438315          32000.000      9.3868       12.3971    1.890895e-09
2 May 2024 10:41:42.000        23.010                 1.500001                  -161.156               -136.178474     17.000000       84.443155          32000.000      9.3917       12.4020    1.853651e-09
2 May 2024 10:42:42.000        23.010                 1.500001                  -161.151               -136.173750     17.000000       84.447879          32000.000      9.3964       12.4067    1.817967e-09
2 May 2024 10:43:42.000        23.010                 1.500001                  -161.147               -136.169143     17.000000       84.452487          32000.000      9.4010       12.4113    1.783788e-09
2 May 2024 10:44:42.000        23.010                 1.500001                  -161.142               -136.164652     17.000000       84.456977          32000.000      9.4055       12.4158    1.751064e-09
2 May 2024 10:45:42.000        23.010                 1.500001                  -161.138               -136.160279     17.000000       84.461350          32000.000      9.4099       12.4202    1.719744e-09
2 May 2024 10:46:42.000        23.010                 1.500001                  -161.134               -136.156025     17.000000       84.465604          32000.000      9.4141       12.4244    1.689782e-09
2 May 2024 10:47:42.000        23.010                 1.500001                  -161.129               -136.151890     17.000000       84.469739          32000.000      9.4182       12.4285    1.661132e-09
2 May 2024 10:48:42.000        23.010                 1.500001                  -161.125               -136.147874     17.000000       84.473755          32000.000      9.4223       12.4326    1.633753e-09
2 May 2024 10:49:42.000        23.010                 1.500001                  -161.121               -136.143979     17.000000       84.477650          32000.000      9.4261       12.4364    1.607603e-09
2 May 2024 10:50:42.000        23.010                 1.500001                  -161.118               -136.140205     17.000000       84.481424          32000.000      9.4299       12.4402    1.582644e-09
2 May 2024 10:51:42.000        23.010                 1.500001                  -161.114               -136.136553     17.000000       84.485076          32000.000      9.4336       12.4439    1.558838e-09
2 May 2024 10:52:42.000        23.010                 1.500001                  -161.111               -136.133023     17.000000       84.488606          32000.000      9.4371       12.4474    1.536151e-09
2 May 2024 10:53:42.000        23.010                 1.500001                  -161.107               -136.129616     17.000000       84.492013          32000.000      9.4405       12.4508    1.514550e-09
2 May 2024 10:54:42.000        23.010                 1.500001                  -161.104               -136.126332     17.000000       84.495298          32000.000      9.4438       12.4541    1.494002e-09
2 May 2024 10:55:42.000        23.010                 1.500001                  -161.101               -136.123171     17.000000       84.498458          32000.000      9.4470       12.4573    1.474477e-09
2 May 2024 10:56:42.000        23.010                 1.500001                  -161.098               -136.120135     17.000000       84.501494          32000.000      9.4500       12.4603    1.455947e-09
2 May 2024 10:57:42.000        23.010                 1.500001                  -161.095               -136.117224     17.000000       84.504405          32000.000      9.4529       12.4632    1.438386e-09
2 May 2024 10:58:42.000        23.010                 1.500001                  -161.092               -136.114437     17.000000       84.507192          32000.000      9.4557       12.4660    1.421767e-09
2 May 2024 10:59:42.000        23.010                 1.500001                  -161.089               -136.111776     17.000000       84.509853          32000.000      9.4584       12.4687    1.406066e-09
2 May 2024 11:00:42.000        23.010                 1.500001                  -161.087               -136.109242     17.000000       84.512387          32000.000      9.4609       12.4712    1.391262e-09
2 May 2024 11:01:42.000        23.010                 1.500001                  -161.084               -136.106833     17.000000       84.514796          32000.000      9.4633       12.4736    1.377331e-09
2 May 2024 11:02:42.000        23.010                 1.500001                  -161.082               -136.104551     17.000000       84.517078          32000.000      9.4656       12.4759    1.364255e-09
2 May 2024 11:03:42.000        23.010                 1.500001                  -161.080               -136.102396     17.000000       84.519233          32000.000      9.4677       12.4780    1.352015e-09
2 May 2024 11:04:42.000        23.010                 1.500000                  -161.078               -136.100368     17.000000       84.521261          32000.000      9.4698       12.4801    1.340592e-09
2 May 2024 11:05:42.000        23.010                 1.500000                  -161.076               -136.098468     17.000000       84.523161          32000.000      9.4717       12.4820    1.329971e-09
2 May 2024 11:06:42.000        23.010                 1.500000                  -161.074               -136.096696     17.000000       84.524933          32000.000      9.4734       12.4837    1.320136e-09
2 May 2024 11:07:42.000        23.010                 1.500000                  -161.073               -136.095052     17.000000       84.526577          32000.000      9.4751       12.4854    1.311073e-09
2 May 2024 11:08:42.000        23.010                 1.500000                  -161.071               -136.093536     17.000000       84.528093          32000.000      9.4766       12.4869    1.302770e-09
2 May 2024 11:09:42.000        23.010                 1.500000                  -161.070               -136.092148     17.000000       84.529481          32000.000      9.4780       12.4883    1.295213e-09
2 May 2024 11:10:42.000        23.010                 1.500000                  -161.068               -136.090889     17.000000       84.530740          32000.000      9.4792       12.4895    1.288392e-09
2 May 2024 11:11:42.000        23.010                 1.500000                  -161.067               -136.089759     17.000000       84.531870          32000.000      9.4804       12.4907    1.282298e-09
2 May 2024 11:12:42.000        23.010                 1.500000                  -161.066               -136.088757     17.000000       84.532872          32000.000      9.4814       12.4917    1.276921e-09
2 May 2024 11:13:42.000        23.010                 1.500000                  -161.065               -136.087885     17.000000       84.533744          32000.000      9.4822       12.4925    1.272254e-09
2 May 2024 11:14:42.000        23.010                 1.500000                  -161.065               -136.087141     17.000000       84.534488          32000.000      9.4830       12.4933    1.268289e-09
2 May 2024 11:15:42.000        23.010                 1.500000                  -161.064               -136.086527     17.000000       84.535103          32000.000      9.4836       12.4939    1.265021e-09
2 May 2024 11:16:42.000        23.010                 1.500000                  -161.064               -136.086041     17.000000       84.535588          32000.000      9.4841       12.4944    1.262445e-09
2 May 2024 11:17:42.000        23.010                 1.500000                  -161.063               -136.085685     17.000000       84.535945          32000.000      9.4844       12.4947    1.260557e-09
2 May 2024 11:18:42.000        23.010                 1.500000                  -161.063               -136.085457     17.000000       84.536172          32000.000      9.4847       12.4950    1.259354e-09
2 May 2024 11:19:42.000        23.010                 1.500000                  -161.063               -136.085359     17.000000       84.536271          32000.000      9.4848       12.4951    1.258833e-09
2 May 2024 11:20:42.000        23.010                 1.500000                  -161.063               -136.085389     17.000000       84.536240          32000.000      9.4847       12.4950    1.258993e-09
2 May 2024 11:21:42.000        23.010                 1.500000                  -161.063               -136.085548     17.000000       84.536081          32000.000      9.4846       12.4949    1.259835e-09
2 May 2024 11:22:42.000        23.010                 1.500000                  -161.063               -136.085836     17.000000       84.535793          32000.000      9.4843       12.4946    1.261358e-09
2 May 2024 11:23:42.000        23.010                 1.500000                  -161.064               -136.086252     17.000000       84.535377          32000.000      9.4839       12.4942    1.263564e-09
2 May 2024 11:24:42.000        23.010                 1.500000                  -161.064               -136.086797     17.000000       84.534833          32000.000      9.4833       12.4936    1.266456e-09
2 May 2024 11:25:42.000        23.010                 1.500000                  -161.065               -136.087469     17.000000       84.534160          32000.000      9.4827       12.4930    1.270037e-09
2 May 2024 11:26:42.000        23.010                 1.500000                  -161.066               -136.088270     17.000000       84.533359          32000.000      9.4819       12.4922    1.274311e-09
2 May 2024 11:27:42.000        23.010                 1.500000                  -161.067               -136.089198     17.000000       84.532431          32000.000      9.4809       12.4912    1.279283e-09
2 May 2024 11:28:42.000        23.010                 1.500000                  -161.068               -136.090253     17.000000       84.531376          32000.000      9.4799       12.4902    1.284960e-09
2 May 2024 11:29:42.000        23.010                 1.500000                  -161.069               -136.091436     17.000000       84.530193          32000.000      9.4787       12.4890    1.291349e-09
2 May 2024 11:30:42.000        23.010                 1.500000                  -161.070               -136.092745     17.000000       84.528884          32000.000      9.4774       12.4877    1.298458e-09
2 May 2024 11:31:42.000        23.010                 1.500000                  -161.072               -136.094181     17.000000       84.527449          32000.000      9.4759       12.4862    1.306295e-09
2 May 2024 11:32:42.000        23.010                 1.500000                  -161.073               -136.095742     17.000000       84.525887          32000.000      9.4744       12.4847    1.314871e-09
2 May 2024 11:33:42.000        23.010                 1.500000                  -161.075               -136.097429     17.000000       84.524200          32000.000      9.4727       12.4830    1.324197e-09
2 May 2024 11:34:42.000        23.010                 1.500000                  -161.077               -136.099242     17.000000       84.522387          32000.000      9.4709       12.4812    1.334285e-09
2 May 2024 11:35:42.000        23.010                 1.500000                  -161.079               -136.101179     17.000000       84.520450          32000.000      9.4690       12.4793    1.345148e-09
2 May 2024 11:36:42.000        23.010                 1.499999                  -161.081               -136.103241     17.000000       84.518388          32000.000      9.4669       12.4772    1.356799e-09
2 May 2024 11:37:42.000        23.010                 1.499999                  -161.083               -136.105426     17.000000       84.516203          32000.000      9.4647       12.4750    1.369255e-09
2 May 2024 11:38:42.000        23.010                 1.499999                  -161.085               -136.107735     17.000000       84.513894          32000.000      9.4624       12.4727    1.382531e-09
2 May 2024 11:39:42.000        23.010                 1.499999                  -161.088               -136.110166     17.000000       84.511463          32000.000      9.4600       12.4703    1.396645e-09
2 May 2024 11:40:42.000        23.010                 1.499999                  -161.090               -136.112720     17.000000       84.508909          32000.000      9.4574       12.4677    1.411615e-09
2 May 2024 11:41:42.000        23.010                 1.499999                  -161.093               -136.115395     17.000000       84.506234          32000.000      9.4547       12.4650    1.427461e-09
2 May 2024 11:42:42.000        23.010                 1.499999                  -161.096               -136.118192     17.000000       84.503437          32000.000      9.4519       12.4622    1.444204e-09
2 May 2024 11:43:42.000        23.010                 1.499999                  -161.099               -136.121109     17.000000       84.500520          32000.000      9.4490       12.4593    1.461866e-09
2 May 2024 11:44:42.000        23.010                 1.499999                  -161.102               -136.124146     17.000000       84.497483          32000.000      9.4460       12.4563    1.480471e-09
2 May 2024 11:45:42.000        23.010                 1.499999                  -161.105               -136.127302     17.000000       84.494328          32000.000      9.4428       12.4531    1.500043e-09
2 May 2024 11:46:42.000        23.010                 1.499999                  -161.108               -136.130576     17.000000       84.491053          32000.000      9.4396       12.4499    1.520608e-09
2 May 2024 11:47:42.000        23.010                 1.499999                  -161.111               -136.133968     17.000000       84.487661          32000.000      9.4362       12.4465    1.542195e-09
2 May 2024 11:48:42.000        23.010                 1.499999                  -161.115               -136.137478     17.000000       84.484152          32000.000      9.4327       12.4430    1.564831e-09
2 May 2024 11:49:42.000        23.010                 1.499999                  -161.119               -136.141103     17.000000       84.480526          32000.000      9.4290       12.4393    1.588548e-09
2 May 2024 11:50:42.000        23.010                 1.499999                  -161.122               -136.144844     17.000000       84.476785          32000.000      9.4253       12.4356    1.613377e-09
2 May 2024 11:51:42.000        23.010                 1.499999                  -161.126               -136.148700     17.000000       84.472929          32000.000      9.4214       12.4317    1.639351e-09
2 May 2024 11:52:42.000        23.010                 1.499999                  -161.130               -136.152671     17.000000       84.468959          32000.000      9.4175       12.4278    1.666507e-09
2 May 2024 11:53:42.000        23.010                 1.499999                  -161.134               -136.156754     17.000000       84.464875          32000.000      9.4134       12.4237    1.694880e-09
2 May 2024 11:54:42.000        23.010                 1.499999                  -161.138               -136.160949     17.000000       84.460680          32000.000      9.4092       12.4195    1.724509e-09
2 May 2024 11:55:42.000        23.010                 1.499999                  -161.143               -136.165256     17.000000       84.456373          32000.000      9.4049       12.4152    1.755435e-09
2 May 2024 11:56:42.000        23.010                 1.499999                  -161.147               -136.169674     17.000000       84.451955          32000.000      9.4005       12.4108    1.787699e-09
2 May 2024 11:57:42.000        23.010                 1.499999                  -161.152               -136.174202     17.000000       84.447428          32000.000      9.3959       12.4062    1.821347e-09
2 May 2024 11:58:42.000        23.010                 1.499999                  -161.156               -136.178838     17.000000       84.442791          32000.000      9.3913       12.4016    1.856423e-09
2 May 2024 11:59:42.000        23.010                 1.499999                  -161.161               -136.183582     17.000000       84.438047          32000.000      9.3865       12.3968    1.892976e-09
2 May 2024 12:00:42.000        23.010                 1.499999                  -161.166               -136.188433     17.000000       84.433196          32000.000      9.3817       12.3920    1.931056e-09
2 May 2024 12:01:42.000        23.010                 1.499999                  -161.171               -136.193390     17.000000       84.428239          32000.000      9.3767       12.3870    1.970716e-09
2 May 2024 12:02:42.000        23.010                 1.499999                  -161.176               -136.198453     17.000000       84.423176          32000.000      9.3717       12.3820    2.012010e-09
2 May 2024 12:03:42.000        23.010                 1.499999                  -161.181               -136.203619     17.000000       84.418010          32000.000      9.3665       12.3768    2.054995e-09
2 May 2024 12:04:42.000        23.010                 1.499999                  -161.186               -136.208888     17.000000       84.412741          32000.000      9.3612       12.3715    2.099731e-09
2 May 2024 12:05:42.000        23.010                 1.499999                  -161.192               -136.214260     17.000000       84.407369          32000.000      9.3559       12.3662    2.146280e-09
2 May 2024 12:06:42.000        23.010                 1.499999                  -161.197               -136.219732     17.000000       84.401897          32000.000      9.3504       12.3607    2.194706e-09
2 May 2024 12:07:42.000        23.010                 1.499999                  -161.203               -136.225305     17.000000       84.396325          32000.000      9.3448       12.3551    2.245076e-09
2 May 2024 12:08:42.000        23.010                 1.499999                  -161.208               -136.230976     17.000000       84.390653          32000.000      9.3392       12.3495    2.297460e-09
2 May 2024 12:09:42.000        23.010                 1.499999                  -161.214               -136.236745     17.000000       84.384884          32000.000      9.3334       12.3437    2.351932e-09
2 May 2024 12:10:42.000        23.010                 1.499999                  -161.220               -136.242611     17.000000       84.379018          32000.000      9.3275       12.3378    2.408567e-09
2 May 2024 12:11:21.158        23.010                 1.499999                  -161.224               -136.246491     17.000000       84.375138          32000.000      9.3236       12.3339    2.446732e-09
