                                               28 Sep 2025 19:35:01
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Global Coverage                                                    
Grid Altitude: 0.0000 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 4.0000 (deg)                                           
Number of Points: 2588                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Satellite/C_Sat/Sensor/C_Camera:    Active                     
    Satellite/R_Sat/Sensor/R_Camera:    Active                     
    Satellite/S_Sat/Sensor/S_Camera:    Active                     
Access Interval: 1 May 2024 16:00:00.000 to 2 May 2024 16:00:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


            FOM Properties           
-------------------------------------
Total Number Of Accesses             
Satisfaction is not enabled          
FOM value range check is not enabled.


Latitude (deg)    Longitude (deg)    FOM Value
       -58.000            356.667            5
       -54.000              3.333            0
       -54.000             10.000            3
       -54.000             16.667            3
       -54.000             23.333            1
       -54.000             30.000            1
       -54.000             36.667            3
       -54.000             43.333            4
       -54.000             50.000            0
       -54.000             56.667            2
       -54.000             63.333            3
       -54.000             70.000            2
       -54.000             76.667            0
       -54.000             83.333            3
       -54.000             90.000            4
       -54.000             96.667            1
       -54.000            103.333            0
       -54.000            110.000            3
       -54.000            116.667            3
       -54.000            123.333            0
       -54.000            130.000            2
       -54.000            136.667            3
       -54.000            143.333            3
       -54.000            150.000            1
       -54.000            156.667            2
       -54.000            163.333            2
       -54.000            170.000            2
       -54.000            176.667            1
       -54.000            183.333            4
       -54.000            190.000            2
       -54.000            196.667            1
       -54.000            203.333            2
       -54.000            210.000            2
       -54.000            216.667            2
       -54.000            223.333            2
       -54.000            230.000            3
       -54.000            236.667            1
       -54.000            243.333            2
       -54.000            250.000            3
       -54.000            256.667            3
       -54.000            263.333            1
       -54.000            270.000            2
       -54.000            276.667            4
       -54.000            283.333            2
       -54.000            290.000            1
       -54.000            296.667            2
       -54.000            303.333            4
       -54.000            310.000            2
       -54.000            316.667            1
       -54.000            323.333            3
       -54.000            330.000            3
       -54.000            336.667            0
       -54.000            343.333            2
       -54.000            350.000            4
       -54.000            356.667            2
       -50.000              3.333            1
       -50.000             10.000            1
       -50.000             16.667            3
       -50.000             23.333            2
       -50.000             30.000            1
       -50.000             36.667            2
       -50.000             43.333            3
       -50.000             50.000            1
       -50.000             56.667            1
       -50.000             63.333            2
       -50.000             70.000            2
       -50.000             76.667            1
       -50.000             83.333            3
       -50.000             90.000            2
       -50.000             96.667            1
       -50.000            103.333            1
       -50.000            110.000            3
       -50.000            116.667            2
       -50.000            123.333            1
       -50.000            130.000            1
       -50.000            136.667            3
       -50.000            143.333            3
       -50.000            150.000            1
       -50.000            156.667            1
       -50.000            163.333            2
       -50.000            170.000            2
       -50.000            176.667            0
       -50.000            183.333            3
       -50.000            190.000            2
       -50.000            196.667            2
       -50.000            203.333            0
       -50.000            210.000            2
       -50.000            216.667            1
       -50.000            223.333            0
       -50.000            230.000            3
       -50.000            236.667            2
       -50.000            243.333            1
       -50.000            250.000            0
       -50.000            256.667            3
       -50.000            263.333            1
       -50.000            270.000            1
       -50.000            276.667            3
       -50.000            283.333            2
       -50.000            290.000            1
       -50.000            296.667            1
       -50.000            303.333            3
       -50.000            310.000            1
       -50.000            316.667            1
       -50.000            323.333            1
       -50.000            330.000            2
       -50.000            336.667            2
       -50.000            343.333            1
       -50.000            350.000            2
       -50.000            356.667            2
       -46.000              2.727            2
       -46.000              8.182            0
       -46.000             13.636            2
       -46.000             19.091            1
       -46.000             24.545            3
       -46.000             30.000            1
       -46.000             35.455            0
       -46.000             40.909            2
       -46.000             46.364            2
       -46.000             51.818            2
       -46.000             57.273            0
       -46.000             62.727            2
       -46.000             68.182            1
       -46.000             73.636            2
       -46.000             79.091            2
       -46.000             84.545            2
       -46.000             90.000            1
       -46.000             95.455            1
       -46.000            100.909            2
       -46.000            106.364            2
       -46.000            111.818            2
       -46.000            117.273            1
       -46.000            122.727            1
       -46.000            128.182            1
       -46.000            133.636            3
       -46.000            139.091            2
       -46.000            144.545            1
       -46.000            150.000            1
       -46.000            155.455            3
       -46.000            160.909            3
       -46.000            166.364            1
       -46.000            171.818            0
       -46.000            177.273            1
       -46.000            182.727            2
       -46.000            188.182            3
       -46.000            193.636            0
       -46.000            199.091            1
       -46.000            204.545            2
       -46.000            210.000            3
       -46.000            215.455            0
       -46.000            220.909            0
       -46.000            226.364            0
       -46.000            231.818            4
       -46.000            237.273            3
       -46.000            242.727            0
       -46.000            248.182            0
       -46.000            253.636            2
       -46.000            259.091            4
       -46.000            264.545            2
       -46.000            270.000            0
       -46.000            275.455            1
       -46.000            280.909            3
       -46.000            286.364            2
       -46.000            291.818            1
       -46.000            297.273            0
       -46.000            302.727            2
       -46.000            308.182            2
       -46.000            313.636            3
       -46.000            319.091            0
       -46.000            324.545            1
       -46.000            330.000            2
       -46.000            335.455            3
       -46.000            340.909            1
       -46.000            346.364            1
       -46.000            351.818            2
       -46.000            357.273            1
       -42.000              2.727            1
       -42.000              8.182            1
       -42.000             13.636            1
       -42.000             19.091            2
       -42.000             24.545            1
       -42.000             30.000            1
       -42.000             35.455            2
       -42.000             40.909            3
       -42.000             46.364            2
       -42.000             51.818            0
       -42.000             57.273            1
       -42.000             62.727            2
       -42.000             68.182            1
       -42.000             73.636            1
       -42.000             79.091            1
       -42.000             84.545            2
       -42.000             90.000            0
       -42.000             95.455            2
       -42.000            100.909            0
       -42.000            106.364            2
       -42.000            111.818            2
       -42.000            117.273            1
       -42.000            122.727            0
       -42.000            128.182            2
       -42.000            133.636            4
       -42.000            139.091            1
       -42.000            144.545            0
       -42.000            150.000            0
       -42.000            155.455            2
       -42.000            160.909            1
       -42.000            166.364            1
       -42.000            171.818            0
       -42.000            177.273            1
       -42.000            182.727            3
       -42.000            188.182            3
       -42.000            193.636            0
       -42.000            199.091            0
       -42.000            204.545            3
       -42.000            210.000            4
       -42.000            215.455            0
       -42.000            220.909            0
       -42.000            226.364            1
       -42.000            231.818            2
       -42.000            237.273            1
       -42.000            242.727            1
       -42.000            248.182            0
       -42.000            253.636            2
       -42.000            259.091            3
       -42.000            264.545            1
       -42.000            270.000            1
       -42.000            275.455            1
       -42.000            280.909            4
       -42.000            286.364            0
       -42.000            291.818            1
       -42.000            297.273            1
       -42.000            302.727            2
       -42.000            308.182            2
       -42.000            313.636            2
       -42.000            319.091            1
       -42.000            324.545            1
       -42.000            330.000            2
       -42.000            335.455            0
       -42.000            340.909            1
       -42.000            346.364            2
       -42.000            351.818            3
       -42.000            357.273            1
       -38.000              2.727            1
       -38.000              8.182            1
       -38.000             13.636            4
       -38.000             19.091            2
       -38.000             24.545            1
       -38.000             30.000            0
       -38.000             35.455            2
       -38.000             40.909            3
       -38.000             46.364            0
       -38.000             51.818            0
       -38.000             57.273            1
       -38.000             62.727            3
       -38.000             68.182            1
       -38.000             73.636            1
       -38.000             79.091            0
       -38.000             84.545            2
       -38.000             90.000            3
       -38.000             95.455            1
       -38.000            100.909            0
       -38.000            106.364            1
       -38.000            111.818            3
       -38.000            117.273            1
       -38.000            122.727            1
       -38.000            128.182            1
       -38.000            133.636            2
       -38.000            139.091            2
       -38.000            144.545            0
       -38.000            150.000            1
       -38.000            155.455            1
       -38.000            160.909            2
       -38.000            166.364            1
       -38.000            171.818            0
       -38.000            177.273            1
       -38.000            182.727            1
       -38.000            188.182            4
       -38.000            193.636            0
       -38.000            199.091            1
       -38.000            204.545            2
       -38.000            210.000            3
       -38.000            215.455            0
       -38.000            220.909            0
       -38.000            226.364            2
       -38.000            231.818            1
       -38.000            237.273            1
       -38.000            242.727            1
       -38.000            248.182            2
       -38.000            253.636            1
       -38.000            259.091            1
       -38.000            264.545            0
       -38.000            270.000            1
       -38.000            275.455            2
       -38.000            280.909            2
       -38.000            286.364            0
       -38.000            291.818            0
       -38.000            297.273            3
       -38.000            302.727            2
       -38.000            308.182            1
       -38.000            313.636            0
       -38.000            319.091            1
       -38.000            324.545            3
       -38.000            330.000            1
       -38.000            335.455            0
       -38.000            340.909            1
       -38.000            346.364            2
       -38.000            351.818            1
       -38.000            357.273            0
       -34.000              2.308            1
       -34.000              6.923            0
       -34.000             11.538            3
       -34.000             16.154            2
       -34.000             20.769            1
       -34.000             25.385            1
       -34.000             30.000            0
       -34.000             34.615            2
       -34.000             39.231            3
       -34.000             43.846            1
       -34.000             48.462            1
       -34.000             53.077            0
       -34.000             57.692            1
       -34.000             62.308            3
       -34.000             66.923            2
       -34.000             71.538            1
       -34.000             76.154            0
       -34.000             80.769            1
       -34.000             85.385            2
       -34.000             90.000            3
       -34.000             94.615            1
       -34.000             99.231            0
       -34.000            103.846            1
       -34.000            108.462            1
       -34.000            113.077            2
       -34.000            117.692            2
       -34.000            122.308            1
       -34.000            126.923            0
       -34.000            131.538            1
       -34.000            136.154            1
       -34.000            140.769            3
       -34.000            145.385            1
       -34.000            150.000            1
       -34.000            154.615            1
       -34.000            159.231            1
       -34.000            163.846            2
       -34.000            168.462            0
       -34.000            173.077            1
       -34.000            177.692            1
       -34.000            182.308            0
       -34.000            186.923            2
       -34.000            191.538            2
       -34.000            196.154            1
       -34.000            200.769            2
       -34.000            205.385            0
       -34.000            210.000            1
       -34.000            214.615            2
       -34.000            219.231            1
       -34.000            223.846            1
       -34.000            228.462            0
       -34.000            233.077            1
       -34.000            237.692            1
       -34.000            242.308            0
       -34.000            246.923            2
       -34.000            251.538            2
       -34.000            256.154            1
       -34.000            260.769            1
       -34.000            265.385            0
       -34.000            270.000            1
       -34.000            274.615            3
       -34.000            279.231            1
       -34.000            283.846            1
       -34.000            288.462            0
       -34.000            293.077            0
       -34.000            297.692            3
       -34.000            302.308            2
       -34.000            306.923            1
       -34.000            311.538            0
       -34.000            316.154            1
       -34.000            320.769            2
       -34.000            325.385            3
       -34.000            330.000            0
       -34.000            334.615            0
       -34.000            339.231            1
       -34.000            343.846            1
       -34.000            348.462            3
       -34.000            353.077            1
       -34.000            357.692            1
       -30.000              2.308            0
       -30.000              6.923            1
       -30.000             11.538            3
       -30.000             16.154            1
       -30.000             20.769            2
       -30.000             25.385            0
       -30.000             30.000            0
       -30.000             34.615            2
       -30.000             39.231            0
       -30.000             43.846            2
       -30.000             48.462            0
       -30.000             53.077            0
       -30.000             57.692            2
       -30.000             62.308            2
       -30.000             66.923            2
       -30.000             71.538            0
       -30.000             76.154            0
       -30.000             80.769            1
       -30.000             85.385            2
       -30.000             90.000            2
       -30.000             94.615            1
       -30.000             99.231            0
       -30.000            103.846            1
       -30.000            108.462            1
       -30.000            113.077            1
       -30.000            117.692            2
       -30.000            122.308            1
       -30.000            126.923            0
       -30.000            131.538            1
       -30.000            136.154            1
       -30.000            140.769            1
       -30.000            145.385            2
       -30.000            150.000            0
       -30.000            154.615            1
       -30.000            159.231            0
       -30.000            163.846            0
       -30.000            168.462            2
       -30.000            173.077            0
       -30.000            177.692            1
       -30.000            182.308            0
       -30.000            186.923            0
       -30.000            191.538            3
       -30.000            196.154            2
       -30.000            200.769            1
       -30.000            205.385            0
       -30.000            210.000            0
       -30.000            214.615            1
       -30.000            219.231            2
       -30.000            223.846            1
       -30.000            228.462            0
       -30.000            233.077            0
       -30.000            237.692            2
       -30.000            242.308            1
       -30.000            246.923            2
       -30.000            251.538            1
       -30.000            256.154            1
       -30.000            260.769            2
       -30.000            265.385            0
       -30.000            270.000            1
       -30.000            274.615            0
       -30.000            279.231            1
       -30.000            283.846            1
       -30.000            288.462            0
       -30.000            293.077            1
       -30.000            297.692            1
       -30.000            302.308            1
       -30.000            306.923            0
       -30.000            311.538            1
       -30.000            316.154            1
       -30.000            320.769            2
       -30.000            325.385            2
       -30.000            330.000            1
       -30.000            334.615            1
       -30.000            339.231            0
       -30.000            343.846            2
       -30.000            348.462            1
       -30.000            353.077            1
       -30.000            357.692            1
       -26.000              2.308            0
       -26.000              6.923            1
       -26.000             11.538            1
       -26.000             16.154            0
       -26.000             20.769            2
       -26.000             25.385            0
       -26.000             30.000            1
       -26.000             34.615            2
       -26.000             39.231            0
       -26.000             43.846            2
       -26.000             48.462            1
       -26.000             53.077            1
       -26.000             57.692            2
       -26.000             62.308            0
       -26.000             66.923            1
       -26.000             71.538            1
       -26.000             76.154            1
       -26.000             80.769            1
       -26.000             85.385            0
       -26.000             90.000            1
       -26.000             94.615            1
       -26.000             99.231            1
       -26.000            103.846            0
       -26.000            108.462            0
       -26.000            113.077            0
       -26.000            117.692            2
       -26.000            122.308            2
       -26.000            126.923            0
       -26.000            131.538            1
       -26.000            136.154            1
       -26.000            140.769            2
       -26.000            145.385            2
       -26.000            150.000            0
       -26.000            154.615            1
       -26.000            159.231            1
       -26.000            163.846            2
       -26.000            168.462            3
       -26.000            173.077            1
       -26.000            177.692            1
       -26.000            182.308            0
       -26.000            186.923            0
       -26.000            191.538            3
       -26.000            196.154            1
       -26.000            200.769            1
       -26.000            205.385            0
       -26.000            210.000            0
       -26.000            214.615            3
       -26.000            219.231            2
       -26.000            223.846            2
       -26.000            228.462            0
       -26.000            233.077            0
       -26.000            237.692            1
       -26.000            242.308            1
       -26.000            246.923            1
       -26.000            251.538            0
       -26.000            256.154            1
       -26.000            260.769            1
       -26.000            265.385            2
       -26.000            270.000            1
       -26.000            274.615            0
       -26.000            279.231            1
       -26.000            283.846            2
       -26.000            288.462            1
       -26.000            293.077            1
       -26.000            297.692            0
       -26.000            302.308            0
       -26.000            306.923            1
       -26.000            311.538            1
       -26.000            316.154            1
       -26.000            320.769            0
       -26.000            325.385            0
       -26.000            330.000            1
       -26.000            334.615            1
       -26.000            339.231            1
       -26.000            343.846            2
       -26.000            348.462            0
       -26.000            353.077            1
       -26.000            357.692            2
       -22.000              2.069            1
       -22.000              6.207            2
       -22.000             10.345            1
       -22.000             14.483            0
       -22.000             18.621            0
       -22.000             22.759            2
       -22.000             26.897            1
       -22.000             31.034            2
       -22.000             35.172            1
       -22.000             39.310            0
       -22.000             43.448            0
       -22.000             47.586            2
       -22.000             51.724            2
       -22.000             55.862            2
       -22.000             60.000            1
       -22.000             64.138            0
       -22.000             68.276            1
       -22.000             72.414            1
       -22.000             76.552            3
       -22.000             80.690            2
       -22.000             84.828            0
       -22.000             88.966            1
       -22.000             93.103            1
       -22.000             97.241            1
       -22.000            101.379            1
       -22.000            105.517            1
       -22.000            109.655            0
       -22.000            113.793            1
       -22.000            117.931            1
       -22.000            122.069            2
       -22.000            126.207            1
       -22.000            130.345            1
       -22.000            134.483            0
       -22.000            138.621            2
       -22.000            142.759            0
       -22.000            146.897            1
       -22.000            151.034            2
       -22.000            155.172            0
       -22.000            159.310            1
       -22.000            163.448            2
       -22.000            167.586            1
       -22.000            171.724            1
       -22.000            175.862            2
       -22.000            180.000            0
       -22.000            184.138            1
       -22.000            188.276            1
       -22.000            192.414            2
