                                               30 Sep 2025 09:53:53
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Custom Regions Coverage                                            
Grid Altitude: 0.0030 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 0.0180 (deg)                                           
Number of Points: 2916                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Missile/TestMissile/Transmitter/DLTx:    Active                
Access Interval: 1 May 2024 18:00:00.000 to 1 May 2024 18:05:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


                FOM Properties               
---------------------------------------------
Maximum C/N                                  
Maximum of Assets                            
Satisfaction is not enabled                  
Invalid Data Indicator Value: -9999.990000 dB
FOM value range check is not enabled.        



Time (UTCG): 1 May 2024 18:02:25.000
------------------------------------

Latitude (deg)    Longitude (deg)    FOM Value (dB)
        32.219            253.262            7.2395
        32.219            253.286            7.2846
        32.219            253.310            7.3274
        32.219            253.334            7.3680
        32.219            253.358            7.4061
        32.219            253.382            7.4418
        32.219            253.406            7.4750
        32.219            253.431            7.5057
        32.219            253.455            7.5337
        32.219            253.479            7.5591
        32.219            253.503            7.5817
        32.219            253.527            7.6016
        32.219            253.551            7.6186
        32.219            253.575            7.6328
        32.219            253.599            7.6442
        32.219            253.623            7.6527
        32.219            253.647            7.6582
        32.219            253.671            7.6609
        32.219            253.695            7.6606
        32.219            253.719            7.6574
        32.219            253.744            7.6513
        32.219            253.768            7.6423
        32.219            253.792            7.6304
        32.219            253.816            7.6156
        32.219            253.840            7.5980
        32.219            253.864            7.5777
        32.219            253.888            7.5545
        32.235            253.262            7.3063
        32.235            253.286            7.3521
        32.235            253.310            7.3956
        32.235            253.334            7.4368
        32.235            253.358            7.4755
        32.235            253.382            7.5118
        32.235            253.406            7.5456
        32.235            253.431            7.5767
        32.235            253.455            7.6052
        32.235            253.479            7.6309
        32.235            253.503            7.6539
        32.235            253.527            7.6741
        32.235            253.551            7.6915
        32.235            253.575            7.7059
        32.235            253.599            7.7175
        32.235            253.623            7.7261
        32.235            253.647            7.7318
        32.235            253.671            7.7345
        32.235            253.695            7.7342
        32.235            253.719            7.7309
        32.235            253.744            7.7247
        32.235            253.768            7.7156
        32.235            253.792            7.7035
        32.235            253.816            7.6885
        32.235            253.840            7.6706
        32.235            253.864            7.6498
        32.235            253.888            7.6263
        32.251            253.262            7.3725
        32.251            253.286            7.4190
        32.251            253.310            7.4631
        32.251            253.334            7.5049
        32.251            253.358            7.5443
        32.251            253.382            7.5812
        32.251            253.406            7.6155
        32.251            253.431            7.6471
        32.251            253.455            7.6760
        32.251            253.479            7.7022
        32.251            253.503            7.7256
        32.251            253.527            7.7461
        32.251            253.551            7.7638
        32.251            253.575            7.7785
        32.251            253.599            7.7902
        32.251            253.623            7.7990
        32.251            253.647            7.8047
        32.251            253.671            7.8075
        32.251            253.695            7.8072
        32.251            253.719            7.8039
        32.251            253.744            7.7976
        32.251            253.768            7.7882
        32.251            253.792            7.7759
        32.251            253.816            7.7607
        32.251            253.840            7.7425
        32.251            253.864            7.7215
        32.251            253.888            7.6975
        32.267            253.262            7.4380
        32.267            253.286            7.4852
        32.267            253.310            7.5300
        32.267            253.334            7.5725
        32.267            253.358            7.6125
        32.267            253.382            7.6499
        32.267            253.406            7.6847
        32.267            253.431            7.7169
        32.267            253.455            7.7463
        32.267            253.479            7.7729
        32.267            253.503            7.7966
        32.267            253.527            7.8175
        32.267            253.551            7.8354
        32.267            253.575            7.8504
        32.267            253.599            7.8623
        32.267            253.623            7.8712
        32.267            253.647            7.8771
        32.267            253.671            7.8798
        32.267            253.695            7.8796
        32.267            253.719            7.8762
        32.267            253.744            7.8698
        32.267            253.768            7.8603
        32.267            253.792            7.8478
        32.267            253.816            7.8323
        32.267            253.840            7.8138
        32.267            253.864            7.7924
        32.267            253.888            7.7681
        32.283            253.262            7.5028
        32.283            253.286            7.5507
        32.283            253.310            7.5962
        32.283            253.334            7.6393
        32.283            253.358            7.6799
        32.283            253.382            7.7179
        32.283            253.406            7.7533
        32.283            253.431            7.7859
        32.283            253.455            7.8158
        32.283            253.479            7.8428
        32.283            253.503            7.8670
        32.283            253.527            7.8882
        32.283            253.551            7.9064
        32.283            253.575            7.9216
        32.283            253.599            7.9337
        32.283            253.623            7.9428
        32.283            253.647            7.9487
        32.283            253.671            7.9515
        32.283            253.695            7.9512
        32.283            253.719            7.9478
        32.283            253.744            7.9413
        32.283            253.768            7.9317
        32.283            253.792            7.9190
        32.283            253.816            7.9032
        32.283            253.840            7.8844
        32.283            253.864            7.8627
        32.283            253.888            7.8380
        32.299            253.262            7.5668
        32.299            253.286            7.6154
        32.299            253.310            7.6616
