                                               30 Sep 2025 09:53:53
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Custom Regions Coverage                                            
Grid Altitude: 0.0030 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 0.0180 (deg)                                           
Number of Points: 2916                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Missile/TestMissile/Transmitter/DLTx:    Active                
Access Interval: 1 May 2024 18:00:00.000 to 1 May 2024 18:05:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


                FOM Properties               
---------------------------------------------
Maximum C/N                                  
Maximum of Assets                            
Satisfaction is not enabled                  
Invalid Data Indicator Value: -9999.990000 dB
FOM value range check is not enabled.        



Time (UTCG): 1 May 2024 18:02:25.000
------------------------------------

Latitude (deg)    Longitude (deg)    FOM Value (dB)
        32.602            253.479            9.0054
        32.602            253.503            9.0368
        32.602            253.527            9.0645
        32.602            253.551            9.0883
        32.602            253.575            9.1082
        32.602            253.599            9.1241
        32.602            253.623            9.1360
        32.602            253.647            9.1438
        32.602            253.671            9.1475
        32.602            253.695            9.1471
        32.602            253.719            9.1426
        32.602            253.744            9.1340
        32.602            253.768            9.1214
        32.602            253.792            9.1048
        32.602            253.816            9.0842
        32.602            253.840            9.0596
        32.602            253.864            9.0312
        32.602            253.888            8.9991
        32.618            253.262            8.6049
        32.618            253.286            8.6665
        32.618            253.310            8.7252
        32.618            253.334            8.7810
        32.618            253.358            8.8337
        32.618            253.382            8.8832
        32.618            253.406            8.9293
        32.618            253.431            8.9720
        32.618            253.455            9.0112
        32.618            253.479            9.0467
        32.618            253.503            9.0785
        32.618            253.527            9.1064
        32.618            253.551            9.1304
        32.618            253.575            9.1505
        32.618            253.599            9.1665
        32.618            253.623            9.1785
        32.618            253.647            9.1864
        32.618            253.671            9.1901
        32.618            253.695            9.1898
        32.618            253.719            9.1852
        32.618            253.744            9.1766
        32.618            253.768            9.1638
        32.618            253.792            9.1470
        32.618            253.816            9.1262
        32.618            253.840            9.1014
        32.618            253.864            9.0728
        32.618            253.888            9.0403
        32.634            253.262            8.6405
        32.634            253.286            8.7025
        32.634            253.310            8.7617
        32.634            253.334            8.8180
        32.634            253.358            8.8711
        32.634            253.382            8.9210
        32.634            253.406            8.9675
        32.634            253.431            9.0106
        32.634            253.455            9.0501
        32.634            253.479            9.0859
        32.634            253.503            9.1180
        32.634            253.527            9.1462
        32.634            253.551            9.1704
        32.634            253.575            9.1907
        32.634            253.599            9.2069
        32.634            253.623            9.2189
        32.634            253.647            9.2269
        32.634            253.671            9.2307
        32.634            253.695            9.2303
        32.634            253.719            9.2257
        32.634            253.744            9.2170
        32.634            253.768            9.2041
        32.634            253.792            9.1872
        32.634            253.816            9.1662
        32.634            253.840            9.1412
        32.634            253.864            9.1123
        32.634            253.888            9.0795
        32.650            253.262            8.6740
        32.650            253.286            8.7365
        32.650            253.310            8.7962
        32.650            253.334            8.8529
        32.650            253.358            8.9064
        32.650            253.382            8.9567
        32.650            253.406            9.0036
        32.650            253.431            9.0471
        32.650            253.455            9.0869
        32.650            253.479            9.1230
        32.650            253.503            9.1553
        32.650            253.527            9.1838
        32.650            253.551            9.2082
        32.650            253.575            9.2287
        32.650            253.599            9.2450
        32.650            253.623            9.2572
        32.650            253.647            9.2652
        32.650            253.671            9.2690
        32.650            253.695            9.2686
        32.650            253.719            9.2640
        32.650            253.744            9.2552
        32.650            253.768            9.2422
        32.650            253.792            9.2251
        32.650            253.816            9.2040
        32.650            253.840            9.1787
        32.650            253.864            9.1496
        32.650            253.888            9.1165
        32.666            253.262            8.7055
        32.666            253.286            8.7685
        32.666            253.310            8.8286
        32.666            253.334            8.8857
        32.666            253.358            8.9397
        32.666            253.382            8.9903
        32.666            253.406            9.0376
        32.666            253.431            9.0814
        32.666            253.455            9.1215
        32.666            253.479            9.1579
        32.666            253.503            9.1905
        32.666            253.527            9.2192
        32.666            253.551            9.2438
        32.666            253.575            9.2644
        32.666            253.599            9.2809
        32.666            253.623            9.2932
        32.666            253.647            9.3012
        32.666            253.671            9.3051
        32.666            253.695            9.3047
        32.666            253.719            9.3000
        32.666            253.744            9.2912
        32.666            253.768            9.2781
        32.666            253.792            9.2609
        32.666            253.816            9.2395
        32.666            253.840            9.2141
        32.666            253.864            9.1847
        32.666            253.888            9.1514
        32.681            253.262            8.7350
        32.681            253.286            8.7984
        32.681            253.310            8.8589
        32.681            253.334            8.9164
        32.681            253.358            8.9707
        32.681            253.382            9.0218
        32.681            253.406            9.0694
        32.681            253.431            9.1135
        32.681            253.455            9.1539
        32.681            253.479            9.1906
        32.681            253.503            9.2234
        32.681            253.527            9.2523
        32.681            253.551            9.2771
        32.681            253.575            9.2978
        32.681            253.599            9.3144
        32.681            253.623            9.3268
        32.681            253.647            9.3350
        32.681            253.671            9.3388
        32.681            253.695            9.3384
        32.681            253.719            9.3338
        32.681            253.744            9.3248
        32.681            253.768            9.3116
        32.681            253.792            9.2943
        32.681            253.816            9.2728
        32.681            253.840            9.2471
        32.681            253.864            9.2175
        32.681            253.888            9.1840
        32.697            253.262            8.7624
        32.697            253.286            8.8262
        32.697            253.310            8.8871
        32.697            253.334            8.9449
        32.697            253.358            8.9996
        32.697            253.382            9.0510
        32.697            253.406            9.0989
        32.697            253.431            9.1433
        32.697            253.455            9.1840
        32.697            253.479            9.2209
        32.697            253.503            9.2539
        32.697            253.527            9.2830
        32.697            253.551            9.3080
        32.697            253.575            9.3289
        32.697            253.599            9.3456
        32.697            253.623            9.3581
        32.697            253.647            9.3663
        32.697            253.671            9.3702
        32.697            253.695            9.3698
        32.697            253.719            9.3651
        32.697            253.744            9.3561
        32.697            253.768            9.3428
        32.697            253.792            9.3253
        32.697            253.816            9.3037
        32.697            253.840            9.2779
        32.697            253.864            9.2481
        32.697            253.888            9.2143
        32.713            253.262            8.7876
        32.713            253.286            8.8518
        32.713            253.310            8.9130
        32.713            253.334            8.9712
        32.713            253.358            9.0262
        32.713            253.382            9.0779
        32.713            253.406            9.1261
        32.713            253.431            9.1708
        32.713            253.455            9.2117
        32.713            253.479            9.2489
        32.713            253.503            9.2821
        32.713            253.527            9.3114
        32.713            253.551            9.3366
        32.713            253.575            9.3576
        32.713            253.599            9.3744
        32.713            253.623            9.3869
        32.713            253.647            9.3952
        32.713            253.671            9.3991
        32.713            253.695            9.3987
        32.713            253.719            9.3940
        32.713            253.744            9.3849
        32.713            253.768            9.3716
        32.713            253.792            9.3540
        32.713            253.816            9.3322
        32.713            253.840            9.3062
        32.713            253.864            9.2762
        32.713            253.888            9.2422
        32.729            253.262            8.8107
        32.729            253.286            8.8752
        32.729            253.310            8.9368
        32.729            253.334            8.9953
        32.729            253.358            9.0506
        32.729            253.382            9.1025
        32.729            253.406            9.1510
        32.729            253.431            9.1959
        32.729            253.455            9.2371
        32.729            253.479            9.2745
        32.729            253.503            9.3079
        32.729            253.527            9.3373
        32.729            253.551            9.3626
        32.729            253.575            9.3838
        32.729            253.599            9.4007
        32.729            253.623            9.4133
        32.729            253.647            9.4216
        32.729            253.671            9.4256
        32.729            253.695            9.4252
        32.729            253.719            9.4204
        32.729            253.744            9.4113
        32.729            253.768            9.3979
        32.729            253.792            9.3801
        32.729            253.816            9.3582
        32.729            253.840            9.3321
        32.729            253.864            9.3019
        32.729            253.888            9.2677
        32.745            253.262            8.8316
        32.745            253.286            8.8964
        32.745            253.310            8.9582
        32.745            253.334            9.0170
        32.745            253.358            9.0726
        32.745            253.382            9.1248
        32.745            253.406            9.1735
        32.745            253.431            9.2186
        32.745            253.455            9.2600
        32.745            253.479            9.2976
        32.745            253.503            9.3312
        32.745            253.527            9.3608
        32.745            253.551            9.3862
        32.745            253.575            9.4075
        32.745            253.599            9.4245
        32.745            253.623            9.4372
        32.745            253.647            9.4455
        32.745            253.671            9.4495
        32.745            253.695            9.4491
        32.745            253.719            9.4443
        32.745            253.744            9.4351
        32.745            253.768            9.4216
        32.745            253.792            9.4038
        32.745            253.816            9.3818
        32.745            253.840            9.3555
        32.745            253.864            9.3252
        32.745            253.888            9.2908
        32.761            253.262            8.8502
        32.761            253.286            8.9152
        32.761            253.310            8.9773
        32.761            253.334            9.0364
        32.761            253.358            9.0922
        32.761            253.382            9.1446
        32.761            253.406            9.1936
        32.761            253.431            9.2389
        32.761            253.455            9.2805
        32.761            253.479            9.3182
        32.761            253.503            9.3520
        32.761            253.527            9.3817
        32.761            253.551            9.4073
        32.761            253.575            9.4286
        32.761            253.599            9.4457
        32.761            253.623            9.4585
        32.761            253.647            9.4668
        32.761            253.671            9.4708
        32.761            253.695            9.4704
        32.761            253.719            9.4656
        32.761            253.744            9.4564
        32.761            253.768            9.4428
        32.761            253.792            9.4249
        32.761            253.816            9.4028
        32.761            253.840            9.3764
        32.761            253.864            9.3460
        32.761            253.888            9.3114
        32.777            253.262            8.8665
        32.777            253.286            8.9318
        32.777            253.310            8.9941
        32.777            253.334            9.0534
        32.777            253.358            9.1094
        32.777            253.382            9.1621
        32.777            253.406            9.2112
        32.777            253.431            9.2567
        32.777            253.455            9.2984
        32.777            253.479            9.3363
        32.777            253.503            9.3702
        32.777            253.527            9.4000
        32.777            253.551            9.4257
        32.777            253.575            9.4472
        32.777            253.599            9.4643
        32.777            253.623            9.4771
        32.777            253.647            9.4855
        32.777            253.671            9.4896
        32.777            253.695            9.4891
        32.777            253.719            9.4843
        32.777            253.744            9.4751
        32.777            253.768            9.4614
        32.777            253.792            9.4435
        32.777            253.816            9.4212
        32.777            253.840            9.3948
        32.777            253.864            9.3642
        32.777            253.888            9.3295
        32.793            253.262            8.8805
        32.793            253.286            8.9460
        32.793            253.310            9.0086
        32.793            253.334            9.0680
        32.793            253.358            9.1242
        32.793            253.382            9.1770
        32.793            253.406            9.2263
        32.793            253.431            9.2720
        32.793            253.455            9.3139
        32.793            253.479            9.3519
        32.793            253.503            9.3859
        32.793            253.527            9.4158
        32.793            253.551            9.4416
        32.793            253.575            9.4631
        32.793            253.599            9.4803
        32.793            253.623            9.4932
        32.793            253.647            9.5016
        32.793            253.671            9.5056
        32.793            253.695            9.5052
        32.793            253.719            9.5004
        32.793            253.744            9.4911
        32.793            253.768            9.4774
        32.793            253.792            9.4594
        32.793            253.816            9.4371
        32.793            253.840            9.4105
        32.793            253.864            9.3798
        32.793            253.888            9.3450
        32.809            253.262            8.8922
        32.809            253.286            8.9579
        32.809            253.310            9.0206
        32.809            253.334            9.0802
        32.809            253.358            9.1365
        32.809            253.382            9.1895
        32.809            253.406            9.2389
        32.809            253.431            9.2847
        32.809            253.455            9.3267
        32.809            253.479            9.3648
        32.809            253.503            9.3989
        32.809            253.527            9.4290
        32.809            253.551            9.4548
        32.809            253.575            9.4764
        32.809            253.599            9.4936
        32.809            253.623            9.5065
        32.809            253.647            9.5150
        32.809            253.671            9.5190
        32.809            253.695            9.5186
        32.809            253.719            9.5138
        32.809            253.744            9.5044
        32.809            253.768            9.4907
        32.809            253.792            9.4727
        32.809            253.816            9.4503
        32.809            253.840            9.4236
        32.809            253.864            9.3929
        32.809            253.888            9.3580
        32.825            253.262            8.9016
        32.825            253.286            8.9674
        32.825            253.310            9.0302
        32.825            253.334            9.0899
        32.825            253.358            9.1464
        32.825            253.382            9.1995
        32.825            253.406            9.2490
        32.825            253.431            9.2949
        32.825            253.455            9.3370
        32.825            253.479            9.3752
        32.825            253.503            9.4094
        32.825            253.527            9.4395
        32.825            253.551            9.4654
        32.825            253.575            9.4870
        32.825            253.599            9.5043
        32.825            253.623            9.5172
        32.825            253.647            9.5257
        32.825            253.671            9.5297
        32.825            253.695            9.5293
        32.825            253.719            9.5244
        32.825            253.744            9.5151
        32.825            253.768            9.5014
        32.825            253.792            9.4833
        32.825            253.816            9.4608
        32.825            253.840            9.4341
        32.825            253.864            9.4033
        32.825            253.888            9.3683
        32.841            253.262            8.9086
        32.841            253.286            8.9745
        32.841            253.310            9.0374
        32.841            253.334            9.0972
        32.841            253.358            9.1538
        32.841            253.382            9.2069
        32.841            253.406            9.2565
        32.841            253.431            9.3025
        32.841            253.455            9.3446
        32.841            253.479            9.3829
        32.841            253.503            9.4171
        32.841            253.527            9.4473
        32.841            253.551            9.4732
        32.841            253.575            9.4949
        32.841            253.599            9.5122
        32.841            253.623            9.5252
        32.841            253.647            9.5337
        32.841            253.671            9.5377
        32.841            253.695            9.5373
        32.841            253.719            9.5324
        32.841            253.744            9.5231
        32.841            253.768            9.5093
        32.841            253.792            9.4912
        32.841            253.816            9.4687
        32.841            253.840            9.4419
        32.841            253.864            9.4110
        32.841            253.888            9.3760
        32.857            253.262            8.9132
        32.857            253.286            8.9792
        32.857            253.310            9.0422
        32.857            253.334            9.1020
        32.857            253.358            9.1586
        32.857            253.382            9.2118
        32.857            253.406            9.2615
        32.857            253.431            9.3075
        32.857            253.455            9.3497
        32.857            253.479            9.3880
        32.857            253.503            9.4223
        32.857            253.527            9.4524
        32.857            253.551            9.4784
        32.857            253.575            9.5001
        32.857            253.599            9.5174
        32.857            253.623            9.5304
        32.857            253.647            9.5389
        32.857            253.671            9.5429
        32.857            253.695            9.5425
        32.857            253.719            9.5376
        32.857            253.744            9.5283
        32.857            253.768            9.5145
        32.857            253.792            9.4963
        32.857            253.816            9.4739
        32.857            253.840            9.4471
        32.857            253.864            9.4161
        32.857            253.888            9.3811
        32.873            253.262            8.9155
        32.873            253.286            8.9815
        32.873            253.310            9.0445
        32.873            253.334            9.1044
        32.873            253.358            9.1610
        32.873            253.382            9.2142
        32.873            253.406            9.2639
        32.873            253.431            9.3099
        32.873            253.455            9.3521
        32.873            253.479            9.3904
        32.873            253.503            9.4247
        32.873            253.527            9.4549
        32.873            253.551            9.4809
        32.873            253.575            9.5026
        32.873            253.599            9.5199
        32.873            253.623            9.5329
        32.873            253.647            9.5414
        32.873            253.671            9.5454
        32.873            253.695            9.5450
        32.873            253.719            9.5401
        32.873            253.744            9.5308
        32.873            253.768            9.5170
        32.873            253.792            9.4988
        32.873            253.816            9.4763
        32.873            253.840            9.4495
        32.873            253.864            9.4186
        32.873            253.888            9.3835
        32.889            253.262            8.9154
        32.889            253.286            8.9813
        32.889            253.310            9.0443
        32.889            253.334            9.1042
        32.889            253.358            9.1608
        32.889            253.382            9.2140
        32.889            253.406            9.2637
        32.889            253.431            9.3097
        32.889            253.455            9.3519
        32.889            253.479            9.3902
        32.889            253.503            9.4245
        32.889            253.527            9.4546
        32.889            253.551            9.4806
        32.889            253.575            9.5023
        32.889            253.599            9.5197
        32.889            253.623            9.5326
        32.889            253.647            9.5411
        32.889            253.671            9.5452
        32.889            253.695            9.5448
        32.889            253.719            9.5399
        32.889            253.744            9.5305
        32.889            253.768            9.5167
        32.889            253.792            9.4986
        32.889            253.816            9.4761
        32.889            253.840            9.4493
        32.889            253.864            9.4184
        32.889            253.888            9.3833
        32.904            253.262            8.9129
        32.904            253.286            8.9788
        32.904            253.310            9.0417
        32.904            253.334            9.1015
        32.904            253.358            9.1581
        32.904            253.382            9.2113
        32.904            253.406            9.2609
        32.904            253.431            9.3069
        32.904            253.455            9.3490
        32.904            253.479            9.3873
        32.904            253.503            9.4216
        32.904            253.527            9.4517
        32.904            253.551            9.4777
        32.904            253.575            9.4993
        32.904            253.599            9.5167
        32.904            253.623            9.5296
        32.904            253.647            9.5381
        32.904            253.671            9.5422
        32.904            253.695            9.5417
        32.904            253.719            9.5369
        32.904            253.744            9.5275
        32.904            253.768            9.5137
        32.904            253.792            9.4956
        32.904            253.816            9.4731
        32.904            253.840            9.4464
        32.904            253.864            9.4154
        32.904            253.888            9.3804
        32.920            253.262            8.9080
        32.920            253.286            8.9738
        32.920            253.310            9.0367
        32.920            253.334            9.0964
        32.920            253.358            9.1529
        32.920            253.382            9.2060
        32.920            253.406            9.2555
        32.920            253.431            9.3014
        32.920            253.455            9.3436
        32.920            253.479            9.3818
        32.920            253.503            9.4160
        32.920            253.527            9.4461
        32.920            253.551            9.4720
        32.920            253.575            9.4936
        32.920            253.599            9.5109
        32.920            253.623            9.5239
        32.920            253.647            9.5324
        32.920            253.671            9.5364
        32.920            253.695            9.5360
        32.920            253.719            9.5311
        32.920            253.744            9.5218
        32.920            253.768            9.5080
        32.920            253.792            9.4899
        32.920            253.816            9.4675
        32.920            253.840            9.4408
        32.920            253.864            9.4099
        32.920            253.888            9.3749
        32.936            253.262            8.9007
        32.936            253.286            8.9664
        32.936            253.310            9.0292
        32.936            253.334            9.0888
        32.936            253.358            9.1452
        32.936            253.382            9.1982
        32.936            253.406            9.2476
        32.936            253.431            9.2934
        32.936            253.455            9.3355
        32.936            253.479            9.3736
        32.936            253.503            9.4077
        32.936            253.527            9.4378
        32.936            253.551            9.4636
        32.936            253.575            9.4852
        32.936            253.599            9.5025
        32.936            253.623            9.5154
        32.936            253.647            9.5239
        32.936            253.671            9.5279
        32.936            253.695            9.5275
        32.936            253.719            9.5226
        32.936            253.744            9.5133
        32.936            253.768            9.4996
        32.936            253.792            9.4815
        32.936            253.816            9.4591
        32.936            253.840            9.4325
        32.936            253.864            9.4016
        32.936            253.888            9.3667
        32.952            253.262            8.8911
        32.952            253.286            8.9567
        32.952            253.310            9.0193
        32.952            253.334            9.0787
        32.952            253.358            9.1350
        32.952            253.382            9.1878
        32.952            253.406            9.2372
        32.952            253.431            9.2828
        32.952            253.455            9.3248
        32.952            253.479            9.3628
        32.952            253.503            9.3968
        32.952            253.527            9.4268
        32.952            253.551            9.4526
        32.952            253.575            9.4741
        32.952            253.599            9.4913
        32.952            253.623            9.5042
        32.952            253.647            9.5127
        32.952            253.671            9.5167
        32.952            253.695            9.5163
        32.952            253.719            9.5114
        32.952            253.744            9.5021
        32.952            253.768            9.4884
        32.952            253.792            9.4704
        32.952            253.816            9.4481
        32.952            253.840            9.4215
        32.952            253.864            9.3908
        32.952            253.888            9.3560
        32.968            253.262            8.8792
        32.968            253.286            8.9445
        32.968            253.310            9.0069
        32.968            253.334            9.0662
        32.968            253.358            9.1223
        32.968            253.382            9.1750
        32.968            253.406            9.2242
        32.968            253.431            9.2697
        32.968            253.455            9.3115
        32.968            253.479            9.3494
        32.968            253.503            9.3833
        32.968            253.527            9.4132
        32.968            253.551            9.4389
        32.968            253.575            9.4603
        32.968            253.599            9.4775
        32.968            253.623            9.4903
        32.968            253.647            9.4988
        32.968            253.671            9.5028
        32.968            253.695            9.5024
        32.968            253.719            9.4975
        32.968            253.744            9.4883
        32.968            253.768            9.4746
        32.968            253.792            9.4567
        32.968            253.816            9.4344
        32.968            253.840            9.4079
        32.968            253.864            9.3773
        32.968            253.888            9.3426
        32.984            253.262            8.8649
        32.984            253.286            8.9300
        32.984            253.310            8.9922
        32.984            253.334            9.0513
        32.984            253.358            9.1072
        32.984            253.382            9.1597
        32.984            253.406            9.2086
        32.984            253.431            9.2540
        32.984            253.455            9.2956
        32.984            253.479            9.3334
        32.984            253.503            9.3672
        32.984            253.527            9.3969
        32.984            253.551            9.4225
        32.984            253.575            9.4439
        32.984            253.599            9.4610
        32.984            253.623            9.4738
        32.984            253.647            9.4822
        32.984            253.671            9.4862
        32.984            253.695            9.4858
        32.984            253.719            9.4809
        32.984            253.744            9.4717
        32.984            253.768            9.4582
        32.984            253.792            9.4402
        32.984            253.816            9.4181
        32.984            253.840            9.3917
        32.984            253.864            9.3612
        32.984            253.888            9.3266
        33.000            253.262            8.8484
        33.000            253.286            8.9132
        33.000            253.310            8.9751
        33.000            253.334            9.0340
        33.000            253.358            9.0896
        33.000            253.382            9.1419
        33.000            253.406            9.1907
        33.000            253.431            9.2358
        33.000            253.455            9.2773
        33.000            253.479            9.3149
        33.000            253.503            9.3485
        33.000            253.527            9.3781
        33.000            253.551            9.4036
        33.000            253.575            9.4249
        33.000            253.599            9.4419
        33.000            253.623            9.4546
        33.000            253.647            9.4630
        33.000            253.671            9.4670
        33.000            253.695            9.4665
        33.000            253.719            9.4617
        33.000            253.744            9.4526
        33.000            253.768            9.4391
        33.000            253.792            9.4212
        33.000            253.816            9.3992
        33.000            253.840            9.3729
        33.000            253.864            9.3425
        33.000            253.888            9.3081
        33.016            253.262            8.8295
        33.016            253.286            8.8941
        33.016            253.310            8.9557
        33.016            253.334            9.0143
        33.016            253.358            9.0696
        33.016            253.382            9.1217
        33.016            253.406            9.1702
        33.016            253.431            9.2152
        33.016            253.455            9.2564
        33.016            253.479            9.2938
        33.016            253.503            9.3273
        33.016            253.527            9.3567
        33.016            253.551            9.3821
        33.016            253.575            9.4033
        33.016            253.599            9.4202
        33.016            253.623            9.4328
        33.016            253.647            9.4412
        33.016            253.671            9.4451
        33.016            253.695            9.4447
        33.016            253.719            9.4399
        33.016            253.744            9.4308
        33.016            253.768            9.4174
        33.016            253.792            9.3996
        33.016            253.816            9.3777
        33.016            253.840            9.3515
        33.016            253.864            9.3213
        33.016            253.888            9.2871
        33.032            253.262            8.8084
        33.032            253.286            8.8727
        33.032            253.310            8.9340
        33.032            253.334            8.9923
        33.032            253.358            9.0473
        33.032            253.382            9.0991
        33.032            253.406            9.1473
        33.032            253.431            9.1920
        33.032            253.455            9.2331
        33.032            253.479            9.2703
        33.032            253.503            9.3036
        33.032            253.527            9.3328
        33.032            253.551            9.3581
        33.032            253.575            9.3791
        33.032            253.599            9.3959
        33.032            253.623            9.4085
        33.032            253.647            9.4168
        33.032            253.671            9.4207
        33.032            253.695            9.4203
        33.032            253.719            9.4156
        33.032            253.744            9.4065
        33.032            253.768            9.3931
        33.032            253.792            9.3755
        33.032            253.816            9.3536
        33.032            253.840            9.3277
        33.032            253.864            9.2976
        33.032            253.888            9.2636
        33.048            253.262            8.7851
        33.048            253.286            8.8490
        33.048            253.310            8.9100
        33.048            253.334            8.9679
        33.048            253.358            9.0227
        33.048            253.382            9.0741
        33.048            253.406            9.1221
        33.048            253.431            9.1665
        33.048            253.455            9.2073
        33.048            253.479            9.2443
        33.048            253.503            9.2774
        33.048            253.527            9.3065
        33.048            253.551            9.3315
        33.048            253.575            9.3524
        33.048            253.599            9.3692
        33.048            253.623            9.3817
        33.048            253.647            9.3899
        33.048            253.671            9.3938
        33.048            253.695            9.3934
        33.048            253.719            9.3887
        33.048            253.744            9.3796
        33.048            253.768            9.3664
        33.048            253.792            9.3488
        33.048            253.816            9.3271
        33.048            253.840            9.3013
        33.048            253.864            9.2715
        33.048            253.888            9.2376
        33.064            253.262            8.7597
        33.064            253.286            8.8232
        33.064            253.310            8.8838
        33.064            253.334            8.9413
        33.064            253.358            8.9957
        33.064            253.382            9.0468
        33.064            253.406            9.0945
        33.064            253.431            9.1387
        33.064            253.455            9.1792
        33.064            253.479            9.2159
        33.064            253.503            9.2488
        33.064            253.527            9.2777
        33.064            253.551            9.3026
        33.064            253.575            9.3233
        33.064            253.599            9.3399
        33.064            253.623            9.3523
        33.064            253.647            9.3605
        33.064            253.671            9.3644
        33.064            253.695            9.3640
        33.064            253.719            9.3593
        33.064            253.744            9.3503
        33.064            253.768            9.3371
        33.064            253.792            9.3198
        33.064            253.816            9.2982
        33.064            253.840            9.2726
        33.064            253.864            9.2429
        33.064            253.888            9.2093
        33.080            253.262            8.7321
        33.080            253.286            8.7951
        33.080            253.310            8.8553
        33.080            253.334            8.9125
        33.080            253.358            8.9665
        33.080            253.382            9.0173
        33.080            253.406            9.0647
        33.080            253.431            9.1085
        33.080            253.455            9.1487
        33.080            253.479            9.1852
        33.080            253.503            9.2178
        33.080            253.527            9.2465
        33.080            253.551            9.2712
        33.080            253.575            9.2918
        33.080            253.599            9.3083
        33.080            253.623            9.3206
        33.080            253.647            9.3287
        33.080            253.671            9.3326
        33.080            253.695            9.3322
        33.080            253.719            9.3275
        33.080            253.744            9.3186
        33.080            253.768            9.3055
        33.080            253.792            9.2883
        33.080            253.816            9.2669
        33.080            253.840            9.2414
        33.080            253.864            9.2120
        33.080            253.888            9.1786
        33.096            253.262            8.7024
        33.096            253.286            8.7650
        33.096            253.310            8.8248
        33.096            253.334            8.8815
        33.096            253.358            8.9352
        33.096            253.382            8.9855
        33.096            253.406            9.0325
        33.096            253.431            9.0760
        33.096            253.455            9.1159
        33.096            253.479            9.1521
        33.096            253.503            9.1845
        33.096            253.527            9.2130
        33.096            253.551            9.2375
        33.096            253.575            9.2579
        33.096            253.599            9.2743
        33.096            253.623            9.2865
        33.096            253.647            9.2945
        33.096            253.671            9.2984
        33.096            253.695            9.2980
        33.096            253.719            9.2933
        33.096            253.744            9.2845
        33.096            253.768            9.2715
        33.096            253.792            9.2544
        33.096            253.816            9.2332
        33.096            253.840            9.2079
        33.096            253.864            9.1787
        33.096            253.888            9.1456
        33.112            253.262            8.6706
        33.112            253.286            8.7328
        33.112            253.310            8.7921
        33.112            253.334            8.8484
        33.112            253.358            8.9016
        33.112            253.382            8.9516
        33.112            253.406            8.9982
        33.112            253.431            9.0414
        33.112            253.455            9.0809
        33.112            253.479            9.1168
        33.112            253.503            9.1489
        33.112            253.527            9.1772
        33.112            253.551            9.2015
        33.112            253.575            9.2218
        33.112            253.599            9.2380
        33.112            253.623            9.2501
        33.112            253.647            9.2581
        33.112            253.671            9.2618
        33.112            253.695            9.2615
        33.112            253.719            9.2569
        33.112            253.744            9.2481
        33.112            253.768            9.2353
        33.112            253.792            9.2183
        33.112            253.816            9.1972
        33.112            253.840            9.1722
        33.112            253.864            9.1432
        33.112            253.888            9.1104
        33.127            253.262            8.6369
        33.127            253.286            8.6985
        33.127            253.310            8.7574
        33.127            253.334            8.8132
        33.127            253.358            8.8660
        33.127            253.382            8.9156
        33.127            253.406            8.9618
        33.127            253.431            9.0046
        33.127            253.455            9.0438
        33.127            253.479            9.0794
        33.127            253.503            9.1112
        33.127            253.527            9.1392
        33.127            253.551            9.1633
        33.127            253.575            9.1834
        33.127            253.599            9.1994
        33.127            253.623            9.2114
        33.127            253.647            9.2193
        33.127            253.671            9.2231
        33.127            253.695            9.2227
        33.127            253.719            9.2182
        33.127            253.744            9.2095
        33.127            253.768            9.1967
        33.127            253.792            9.1799
        33.127            253.816            9.1590
        33.127            253.840            9.1342
        33.127            253.864            9.1055
        33.127            253.888            9.0730
        33.143            253.262            8.6012
        33.143            253.286            8.6623
        33.143            253.310            8.7206
        33.143            253.334            8.7760
        33.143            253.358            8.8283
        33.143            253.382            8.8774
        33.143            253.406            8.9233
        33.143            253.431            8.9656
        33.143            253.455            9.0045
        33.143            253.479            9.0398
        33.143            253.503            9.0713
        33.143            253.527            9.0990
        33.143            253.551            9.1229
        33.143            253.575            9.1428
        33.143            253.599            9.1587
        33.143            253.623            9.1706
        33.143            253.647            9.1784
        33.143            253.671            9.1821
        33.143            253.695            9.1817
        33.143            253.719            9.1773
        33.143            253.744            9.1687
        33.143            253.768            9.1560
        33.143            253.792            9.1394
        33.143            253.816            9.1187
        33.143            253.840            9.0941
        33.143            253.864            9.0657
        33.143            253.888            9.0334
        33.159            253.262            8.5635
        33.159            253.286            8.6242
        33.159            253.310            8.6820
        33.159            253.334            8.7368
        33.159            253.358            8.7887
        33.159            253.382            8.8373
        33.159            253.406            8.8827
        33.159            253.431            8.9247
        33.159            253.455            8.9632
        33.159            253.479            8.9981
        33.159            253.503            9.0293
        33.159            253.527            9.0568
        33.159            253.551            9.0804
        33.159            253.575            9.1001
        33.159            253.599            9.1159
        33.159            253.623            9.1276
        33.159            253.647            9.1354
        33.159            253.671            9.1390
        33.159            253.695            9.1387
        33.159            253.719            9.1342
        33.159            253.744            9.1257
        33.159            253.768            9.1132
        33.159            253.792            9.0967
        33.159            253.816            9.0762
        33.159            253.840            9.0519
