"Access","Time (UTCG)","Noise Density (dBW/Hz)","S/T SNR1 (dB)","S/T PDet1","S/T Integrated SNR (dB)","S/T Integrated PDet","S/T Pulses Integrated","S/T Integration Time (sec)","S/T Dwell Time (sec)","S/T Noise Bandwidth (MHz)","S/T Noise Power (dBW)","S/T Ambig Tgt Velocity (m/s)","S/T Ambig MLC Velocity (m/s)","S/T Ambig Tgt Range (km)","S/T Integ. Det. Thresh. (dB)","S/T Integ. CFAR Multiple"
1,1 May 2024 19:29:08.000,-203.975159,-16.4269,0.000120,10.6658,0.000724,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,42.438451,27.7847,0.000000
1,1 May 2024 19:29:11.000,-203.975159,-16.3893,0.000121,10.7034,0.000736,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,41.698629,27.7847,0.000000
1,1 May 2024 19:29:14.000,-203.975159,-16.3516,0.000121,10.7411,0.000747,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,40.958808,27.7847,0.000000
1,1 May 2024 19:29:17.000,-203.975159,-16.3138,0.000121,10.7789,0.000759,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,40.218987,27.7847,0.000000
1,1 May 2024 19:29:20.000,-203.975159,-16.2760,0.000121,10.8167,0.000771,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,39.479165,27.7847,0.000000
1,1 May 2024 19:29:23.000,-203.975159,-16.2381,0.000121,10.8546,0.000783,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,38.739344,27.7847,0.000000
1,1 May 2024 19:29:26.000,-203.975159,-16.2001,0.000122,10.8926,0.000796,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,37.999522,27.7847,0.000000
1,1 May 2024 19:29:29.000,-203.975159,-16.1620,0.000122,10.9307,0.000811,512,0.5110,0.5132,30.000,-129.204,-3.549,0.000,37.259700,27.7847,0.000000
1,1 May 2024 19:29:32.000,-203.975159,-16.1238,0.000122,10.9689,0.000825,512,0.5110,0.5132,30.000,-129.204,-3.550,0.000,36.519879,27.7847,0.000000
1,1 May 2024 19:29:35.000,-203.975159,-16.0855,0.000122,11.0072,0.000839,512,0.5110,0.5132,30.000,-129.204,-3.550,0.000,35.780057,27.7847,0.000000
